latitude,longitude,target_no,target_name,type,subtype,dimensions_ft,top_of_target_depth_ft,water_depth_ft,material,Type (New),Class (New),Subclass (New),target_description,css_surveyed,css_survey_date,css_dimensions,css_water_depth_ft,css_historically_explored,css_description,css_url,dcs_target_no,dcs_scuba_footage,dcs_scuba_date,dcs_dimensions,dcs_notes,dcs_history_url,dcs_video_url,luvm_url,sc_newly_uncovered_target,sc_newly_uncovered_wreck,sc_rov_dive_date,sc_top_of_target_ft,sc_water_depth_ft,sc_video_url,sc_current_footage_status,sc_initial_footage_status,sc_howto_access
47.6525493,-122.324843,LU001,Wooden Barge,Barge,Wooden Barge with special purpose,20' x 12',#N/A,35,Wood,Vessel,Barge Wreck,"Wooden, Wood","Type: Vessel | Class: Barge | Subclass: Wood
Shipwreck City Data
This target has been classified as a wood barge wreck. It appears to have purpose built design that is currently unknown, resting in 35 feet of water and measuring roughly 20 feet by 12 feet. The structure is covered by aquatic weeds and algae, with much of the hull outline obscured by growth. Visible features include upright posts and a curved fitting near the bow area, along with a large breach or opening in the deck near the stern. 
Prior Research and Theories
Previously, Coastal Sensing & Survey had classified this target as LU001 based off their side scan imagery.",Yes,NA,20' x 12',35,No,Unknown Object,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU01,NA,NA,NA,NA,NA,NA,,NA,no,no,4May2026,,,NA,First Footage,No Footage,Boat
47.6506131,-122.3284209,LU002,Wood Structure,Infrastructure,Wooden structure,16' x 8',25,35,Wood,Infrastructure ,Man Made,Wooden,"Type: Infrastructure | Class: Man-made | Subclass: Wood
Shipwreck City Data
This target has been classified as a wooden man made structure. Resting in 35 feet of water and measuring roughly 16 feet by 8 feet. Target is heavily degraded and coverd in unknown debris and aquatic plants. Visabel man made cut log and possible rib pieces indicate a possible small barge however there are not defining vessel components. 
Prior Research and Theories
Previously, Coastal Sensing & Survey had classified this target as LU002 and looked like a small section of dock or a work barge based off their side scan imagery.",Yes,NA,16' x 8',35,No,Unknown Object,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU02,NA,NA,NA,NA,NA,NA,,NA,no,no,4May2026,25,28,NA,First Footage,No Footage,Boat
47.6493959,-122.3285119,LU003,"""The Old Barge""",Barge,Wooden Barge,100' x 30',30,35,Wood,Vessel,Barge Wreck,"Wooden, Wood","Type: Vessel | Class: Barge Wreck | Subclass: Wood
Shipwreck City Data
This target has been classified as a wood barge wreck. It is resting in 35 feet of water and measuring roughly 100 feet by 30 feet. The hull is heavily encrusted with barnacle-like growth along its exposed edges, with some sections of timber showing dark, deteriorated wood beneath the crust. A curved metal or wood fitting, possibly a rudder or hardware piece, is visible near the structure. A beer can rests nearby on the lakebed, along with scattered aquatic weeds.
Prior Research and Theories
Previously, Coastal Sensing & Survey had classified this target as LU03. Described as a Barge with additional comments about the wreck being coverd in weed balls caused from dying milfoil. Previously,DCS Films' classified this target as Barge #7 with listed dimensions of 90' length, 30' width, and height 4' and 3'.Previously, Lake Union Virtual Museum had classified this target as a large, 70 foot rugged wood barge lying on the lake bottom near Gasworks Park, not far from the wreck of Foss barge #54. ",Yes,NA,100' x 30',35,No,Old Barge,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU03,7,yes,NA,70 x 23 x 4,"""Old Barge, Length 70, Width 23, Height 4""",http://www.dcsfilms.com/Site_4/Lake_Union_barges.html,https://vimeo.com/23801859?fl=pl&fe=sh,NA,no,no,4May2026,30,33,NA,Updated Footage,Historical Footage,Boat
47.6479338,-122.3300238,LU004,Metal Frame,Infrastructure,Metal frame,6'x6',34,35,Metal,Infrastructure ,Man Made,Metal,"Type: Infrastructure | Class: Man Made | Subclass: Metal
Shipwreck City Data
This target has been classified as a man made metal piece of infrastructure. Resting in 35 feet of water and measuring roughly 6 feet by 6 feet. Debris and metal objects scattered across the lakebed. Coated in dense algae and short growth. Possible structure or holding due to the 90 degree shape in the frame. Metal object extending out from the corner an additional 8-10 inches.
Prior Research and Theories
Previously, Coastal Sensing & Survey had classified this target as LU04. Described as an area with several debris objects.",Yes,NA,6'x6',35,No,Several Debris Objects,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU04,NA,NA,NA,NA,NA,NA,,NA,no,no,4May2026,34,35,NA,First Footage,No Footage,boat
47.6461409,-122.3306924,LU005,Wooden Boat,Shipwreck,Shipwreck (longboat style hull),32' x 11',37,40,Wood,Vessel,Shipwreck,"Wooden, Wood","Type: Vessel | Class: Shipwreck | Subclass: Wood
Shipwreck City Data
This target has been classified as a wood shipwreck. Resting in 40 feet of water and measuring roughly 32 feet by 11 feet. The wreck is heavily covered aquatic weeds along much of its length, with the hull's structural planking visible where growth has thinned. Visable bow stem with unidentified debris inside including a medium sixed box. Ribs are visible in some areas as outer plankng and inner sheathing have fallen.
Prior Research and Theories
Previously, Coastal Sensing & Survey had classified this target as LU05. Described as an unknow object or wreck it is covered in aquatic debris.",Yes,NA,32' x 11',40,No,Shipwreck - Weed Covered,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU05,NA,NA,NA,NA,NA,NA,,NA,no,no,4May2026,37,41,NA,First Footage,No Footage,Boat
47.6437101,-122.3318662,LU006,LCVP PA 201-8/9,Shipwreck,Landing Craft,25' x 8',#N/A,40,Wood,Vessel,Shipwreck,"Wooden, Wood","Type: Vessel | Class: Shipwreck | Subclass: Wood
Shipwreck City Data
This target has been classified as a wood shipwreck, likely a landing craft or commonly known as a Higgins Boat. Resting in 40 feet of water and measuring roughly 25 feet by 8 feet. The flat-bottomed hull is heavily weed-covered. Partial hull markings are visible on the stern in some frames.Visable circular hole in the wreck indicates a possbile gunner's cockpit along with other visable debris and structural wood support. Seattle did not have a major shipyard producing large landing craft, it was part of the broader U.S. shipbuilding network that supplied components for thousands of landing craft. 
Prior Research and Theories
Previously, Coastal Sensing & Survey had classified this target as LU06. Descriped as a weed-covered landing craft. Previosuly, DCS Films classified this target as an LCVP (Landing Craft, Vehicle, Personal), or Higgins Boat, bearing the partial hull number ""PA 201,"" possibly originating from the USS Menard, though the full designation remains obscured under roughly two feet of mud at the stern. Previously, Lake Union Virtual Museumas classified this target as a Higgins Boat. ",Yes,NA,25' x 8',40,Yes,Landing Craft (Weed Covered),https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU06,18,yes`,NA,NA,NA,http://www.dcsfilms.com/Site_4/Higgins_Boat.html,https://vimeo.com/23622216?fl=pl&fe=sh,http://www.lakeunionhistory.org/Higgins_Boat.html,no,no,6May2026,,,NA,Updated Footage,Historical Footage,Boat
47.6448462,-122.337118,LU007,Foss 54 (YC 191),Barge,Barge,91' x 26',#N/A,15,Unknown,Vessel,Shipwreck,"Wooden, Wood","Type: Vessel | Class: Shipwreck | Subclass: Wooden
Shipwreck City Data
This target has been classified as a wood shipwreck. Identified as the Foss Barge 54. Resting in 15 feet of water and measuring roughly 91 feet by 26 feet. Visable large deck beams and structural members still largely intact along with upright structures extending upwards to the surface. There are holes into the interrior of the wreck that were not explored by some viewable debris can be seen such as car tire. The Foss 54 was originally built in 1908 for the U.S. Navy in Bremerton, Washington. Multiple sources indicate the barges use, from coal transport, lumber transport, to other materials from the region the barge Puget Sound served for almost 60 years. In 1969 it was removed from documentaiton and presumably sinks shortly after that time. 
Prior Research and Theories
Previously, Coastal Sensing & Survey classified this target as LU07. Described as a barge and the wreck of a Foss 54 in Lake Union. Previously, DCS Films classified this target as Foss 54. DCS films provides details about the vessel including historic photos. Previously, Lake Union Virtual Museum classified this target as the wreck as the Foss 54.",Yes,NA,91' x 26',15,Yes,Barge,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU07,8,yes,NA,110 x 30,"Length 110 feet, Width 30 feet, Height 8 feet, Gross Tonnage 233",http://www.dcsfilms.com/Site_4/FOSS_54_Lake_Union.html,https://youtu.be/i42ZglIl_LU?si=zPqSMah3WNudZxu2,http://www.lakeunionhistory.org/Foss_Barge.html,no,no,13Dec2025,,,https://www.youtube.com/watch?v=MPLPYdXKrpQ,Updated Footage,Historical Footage,Gas Works Park
47.6449193,-122.3376876,LU008,Irene,Shipwreck,Shipwreck,45' x 12',#N/A,40,Wood,Vessel,Shipwreck,Wood,"Type: Vessel | Class: Shipwreck | Subclass: Wood
Shipwreck City Data
This target has been classified as a wood shipwreck. Resting in 40 feet of water and measuring roughly 45 feet by 12 feet. The name Irene is a presumed identification based on lettering found on debris at the site/ Vessel has visable deck planking along with outer planking and inner sheathing. Rounded stern of the vessel is visable and parts of the deck have collapsed. Other debris marks the areas such as a chair and tire. No clear vessel purpose can be identifed at this time. 
Prior Research and Theories
This target has classified by Coastal Sensing & Survey as LU08. Described as shipwreck. No additional narrative accompanies the entry beyond the classification and sonar imagery. This target has been classified by DCS Films as Irene. This target has been classified by Lake Union Virtual Museum as Irene. Added measurments of 48 feet long, 11 feet wide, and 6 feet tall at the bow.",Yes,NA,45' x 12',40,Yes,Shipwreck,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU08,9,yes,NA,48 x 11ft,"Length 48 feet, Width 11ft, Depth 6 feet (bow) 3 feet (stern), Engine 22 feet from bow",http://www.dcsfilms.com/Site_4/Irene_Lake_Union.html,https://youtu.be/VluSc-tzzZM?si=CitVDeiU10oG2e9r,http://www.lakeunionhistory.org/Irene.html,no,no,10Feb2026,,,NA,Updated Footage,Historical Footage,Gas Works Park
47.6448424,-122.3380882,LU009,Landing Craft,Shipwreck,Landing Craft,40' x 10',#N/A,40,Wood,Vessel,Shipwreck,Wood,"Type: Vessel | Class: Shipwreck | Subclass: Wood
Shipwreck City Data
This target has been classified as a wood shipwreck. Resting in 40 feet of water and measuring roughly 40 feet by 10 feet. Visable flat, angular bow structure typical and looks like it could be used as a landing craft. Visible deck framing and hardware including a possible cleat still fastened to one of the beams. Sections of the target are coated in silt and light growth.
Prior Research and Theories
This target has been classified by Coastal Sensing & Survey as LU09 as a converted landing craft. DCS Films documents it among its Lake Union relics. The Lake Union Virtual Museum specifies that this wreck was originally a military LCVP landing craft before being converted for other uses, and gives its dimensions as 34 feet long, 9 feet wide, with a 4-foot depth at the bow, with underwater photos credited to diver Dan Warter from 2011.",Yes,NA,40' x 10',40,Yes,Converted Landing Craft,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU09,10,yes,NA,34 x 9,"Wooden vessel, length 34', width 9', depth 4' (bow)",http://www.dcsfilms.com/Site_4/Lake_Union_Targets.html,https://www.youtube.com/watch?v=u__u4sHH8hI,http://www.lakeunionhistory.org/Converted_Landing_Craft.html,no,no,13Dec2025,,,https://www.youtube.com/watch?v=MPLPYdXKrpQ,Updated Footage,Historical Footage,Gas Works Park
47.6451389,-122.3395139,LU010,Small Work Barge,Barge,Small wood work barge,15' x 6',#N/A,40,Wood,Vessel,Barge Wreck,Wood,"Type: Vessel | Class: Barge Wreck | Subclass: Wood
Shipwreck City Data
This target has been classified as a wood barge wreck. Resting in 40 feet of water and measuring roughly 15 feet by 6 feet. Squared-off timber hull section is visable with the exposed wood coated in light growth and sediment, and a darker patch of buildup or debris settled against the structure. Parts of the structure have broken away leaving views into the interrior of the target. Possible debris inside. 
Prior Research and Theories
This target has been classified by Coastal Sensing & Survey as LU10, described as a small work barge. No additional narrative accompanies the entry beyond the classification and sonar imagery.",Yes,NA,15' x 6',40,Yes,Dock Section,https://www.coastalsensing.com/survey-target-logs-lake-union/tag/LU10,NA,NA,NA,NA,NA,NA,,NA,no,no,10May2026,,,NA,First Footage,No Footage,boat
